m,y,p,c,u,lat,lng,t
1600,1877,"Warrenton","US","24215",38.68333,-91.15000000000001,"CO3.7"
112,1877,"Hungen","DE","11986",50.3,8.91667,"H6"
30,1877,"Jodzie","LT","12173",55.7,24.4,"Howardite"
18,1877,"Bhagur","IN","5037",20.88333,74.83333,"L6"
28000,1878,"Tieschitz","CZ","23989",49.6,17.11667,"H/L3.6"
9000,1878,"Rakovka","RU","22376",52.98333,37.03333,"L6"
5650,1878,"Dandapur","IN","5511",26.91667,83.96666999999999,"L6"
4000,1878,"Mern","DK","15489",55.05,12.06667,"L6"
1000,1878,"Haraiya","IN","11824",26.8,82.53333000000001,"Eucrite-mmict"
399,1878,"La Charca","MX","12394",20.66667,-101.28333,"OC"
320000,1879,"Estherville","US","10059",43.41667,-94.83333,"Mesosiderite-A3/4"
160000,1879,"Tenham","AU","23897",-25.73333,142.95,"L6"
4500,1879,"Kalumbi","IN","12236",17.83333,73.98333,"L6"
4000,1879,"Nogoya","AR","16989",-32.36667,-59.83333,"CM2"
2800,1879,"La Bécasse","FR","12392",47.08333,1.75,"L6"
2024,1879,"Itapicuru-Mirim","BR","12056",-3.4,-44.33333,"H5"
1750,1879,"Gnadenfrei","PL","10936",50.66667,16.76667,"H5"
900,1879,"Tomatlan","MX","24020",20.16667,-105.21667,"H6"
54000,1880,"Veramin","IR","24162",35.33333,51.63333,"Mesosiderite-B2"
2700,1880,"Andhara","IN","2294",26.58333,85.56667,"Stone-uncl"
2200,1880,"Wittekrantz","ZA","24323",-32.5,23,"L5"
910,1880,"Ratyn","PL","22398",52.2,17.98333,"Stone-uncl"
720,1880,"Takenouchi","JP","23789",35.38333,134.9,"H5"
72,1880,"Chetrinahatti","IN","5344",14.5,76.5,"Stone-uncl"
8000,1881,"Grossliebenthal","UA","11208",46.35,30.58333,"L6"
3400,1881,"Pacula","MX","18068",21.05,-99.3,"L6"
1600,1881,"Middlesbrough","GB","16632",54.56667,-1.16667,"L6"
37,1881,"Piquetberg","ZA","18832",-32.86667,18.71667,"H"
300000,1882,"Mocs","RO","16709",46.8,24.03333,"L5-6"
11620,1882,"Fukutomi","JP","10836",33.18333,130.2,"L5"
2000,1882,"Pavlovka","RU","18177",52.03333,43,"Howardite"
842,1882,"Pirgunje","BD","18834",25.8,88.45,"L6"
228000,1883,"Alfianello","IT","466",45.26667,10.15,"L6"
1393,1883,"Ngawi","ID","16966",-7.45,111.41667,"LL3.6"
360,1883,"St. Caprais-de-Quinsac","FR","23081",44.75,0.05,"L6"
166000,1884,"Djati-Pengilon","ID","7652",-7.5,111.5,"H6"
19860,1884,"Tysnes Island","NO","24094",60,5.61667,"H4"
1161,1884,"Pirthalla","IN","18835",29.58333,76,"H6"
4000,1885,"Mazapil","MX","15453",24.68333,-101.68333,"Iron, IAB-sLL"
1100,1885,"Chandpur","IN","5321",27.28333,79.05,"L6"
48500,1886,"Cabin Creek","US","5186",35.5,-93.5,"Iron, IIIAB"
45000,1886,"Kyushu","JP","12390",32.03333,130.63333,"L6"
4500,1886,"Nammianthal","IN","16902",12.28333,79.2,"H5"
2000,1886,"Assisi","IT","2353",43.03333,12.55,"H5"
1900,1886,"Novo-Urei","RU","17933",54.81667,46,"Ureilite"
762,1886,"Bradford Woods","US","5128",40.5,-80.08333,"L"
17,1886,"Barntrup","DE","4948",52,9.1,"LL4"
500000,1887,"Ochansk","RU","17979",57.78333,55.26667,"H4"
1900,1887,"Bielokrynitschie","UA","5043",50.13333,27.16667,"H4"
500,1887,"Phu Hong","VN","18809",11.25,108.58333,"H4"
