place,nametype,type_of_meteorite,g_mass,fell_found,year,id,latitude,longitude
Chicora,Valid,LL6,303,Fell,1938,5349,40.933330,-79.733330
Chisenga,Valid,"Iron, IIIAB",3920,Fell,1988,5355,-10.059440,33.395000
Chitado,Valid,L6,,Fell,1966,5356,-17.350000,13.966670
Chitenay,Valid,L6,4000,Fell,1978,5357,47.470830,0.976670
Cilimus,Valid,L5,1600,Fell,1979,5364,-6.950000,108.100000
Claxton,Valid,L6,1455,Fell,1984,5374,32.102500,-81.872780
Clohars,Valid,L4,48.6,Fell,1822,5383,,
Colby (Wisconsin),Valid,L6,104000,Fell,1917,5395,44.900000,-90.283330
Cold Bokkeveld,Valid,CM2,5200,Fell,1838,5397,-33.133330,19.383330
Coleman,Valid,L6,469,Fell,1994,5401,43.761110,-84.507780
Collescipoli,Valid,H5,5000,Fell,1890,5403,42.533330,12.616670
Conquista,Valid,H4,20350,Fell,1965,5418,-19.850000,-47.550000
Cosina,Valid,H5,1200,Fell,1844,5451,21.166670,-100.866670
Cranganore,Valid,L6,1460,Fell,1917,5465,10.200000,76.266670
Crescent,Valid,CM2,78.4,Fell,1936,5470,35.950000,-97.583330
Cronstad,Valid,H5,3650,Fell,1877,5474,-27.700000,27.300000
Cross Roads,Valid,H5,167,Fell,1892,5476,35.633330,-78.133330
Crumlin,Valid,L5,4255,Fell,1902,5477,54.616670,-6.216670
Cumberland Falls,Valid,Aubrite,17000,Fell,1919,5496,36.833330,-84.350000
Cynthiana,Valid,L/LL4,6000,Fell,1877,5500,38.400000,-84.250000
Dahmani,Valid,LL6,18000,Fell,1981,5504,35.616670,8.833330
Dandapur,Valid,L6,5650,Fell,1878,5511,26.916670,83.966670
Daniel's Kuil,Valid,EL6,1064,Fell,1868,5513,-28.200000,24.566670
Danville,Valid,L6,2000,Fell,1868,5514,34.400000,-87.066670
Darmstadt,Valid,H5,100,Fell,1804,6603,49.866670,8.650000
Dashoguz,Valid,H5,7000,Fell,1998,6604,41.984440,59.685000
Daule,Valid,L5,6580,Fell,2008,51559,-1.870890,-79.957560
De Cewsville,Valid,H6,340,Fell,1887,6621,43.000000,-80.000000
Deal,Valid,L6,28,Fell,1829,6634,40.250000,-74.000000
Delhi,Valid,L5,0.8,Fell,1897,6642,28.566670,77.250000
Demina,Valid,L6,16400,Fell,1911,6649,51.466670,84.766670
Denver,Valid,L6,230,Fell,1967,6660,39.782500,-104.930560
Dergaon,Valid,H5,12500,Fell,2001,6664,26.683330,93.866670
Desuri,Valid,H6,25400,Fell,1962,6693,25.733330,73.616670
Devgaon,Valid,H3.8,12000,Fell,2001,6694,19.000000,81.000000
Devri-Khera,Valid,L6,1140,Fell,1994,6696,24.225000,76.525000
Dhajala,Valid,H3.8,45000,Fell,1976,6698,22.377780,71.427220
Dharwar,Valid,OC,1800,Fell,1848,6699,14.883330,75.600000
Dhurmsala,Valid,LL6,32000,Fell,1860,7640,32.233330,76.466670
Didim,Valid,H3-5,3396,Fell,2007,47350,37.351720,27.329970
Diep River,Valid,L6,1000,Fell,1906,7642,-33.750000,18.566670
Distrito Quebracho,Valid,H4,400,Fell,1957,7649,-31.883330,-60.466670
Djati-Pengilon,Valid,H6,166000,Fell,1884,7652,-7.500000,111.500000
Djermaia,Valid,H,3950,Fell,1961,7656,12.733330,15.050000
Djoumine,Valid,H5-6,10000,Fell,1999,7657,36.950000,9.550000
Dokachi,Valid,H5,3840,Fell,1903,7658,23.500000,90.333330
Dolgovoli,Valid,L6,1600,Fell,1864,7659,50.750000,25.300000
Domanitch,Valid,L5,438,Fell,1907,7661,40.000000,29.000000
Dong Ujimqin Qi,Valid,Mesosiderite,128800,Fell,1995,7706,45.500000,119.033330
Donga Kohrod,Valid,H6,230,Fell,1899,7707,21.866670,82.450000
Dongtai,Valid,LL6,5500,Fell,1970,7708,32.916670,120.783330
Doroninsk,Valid,H5-7,3891,Fell,1805,7718,51.200000,112.300000
Dosso,Valid,L6,1250,Fell,1962,7722,13.050000,3.166670
Douar Mghila,Valid,LL6,1161,Fell,1932,7723,32.333330,-6.300000
